index,contest-tmp2m-14d__tmp2m
375734,28.87521051768688
375735,28.81030584603505
375736,28.66687172738703
375737,28.96563383598259
375738,29.24934016281513
375739,29.16435365926972
375740,28.884521613851923
375741,28.37583563132143
375742,28.2399272776095
375743,28.508071232782374
375744,28.50521760692517
375745,28.63634886585943
375746,28.73617649383679
375747,28.472958128997895
375748,28.004129540743
375749,27.72214554016483
375750,27.372322352357596
375751,27.346111467159346
375752,26.896041015735538
375753,26.622791680516045
375754,26.54639823967583
375755,26.773251228246004
375756,26.388722638916324
375757,26.121363434991885
375758,25.672131277783514
375759,25.12418511733027
375760,25.122492287098186
375761,25.36452034293692
375762,25.31576169745327
375763,25.07409235310158
375764,25.12301795325139
375765,25.286691664018107
375766,25.34083980147316
375767,25.410591832321337
375768,25.487389452632964
375769,25.401076244778455
375770,24.9185483162372
375771,24.688260548489815
375772,24.880258295767185
375773,25.028639529688014
375774,25.12233235371403
375775,25.086348309964933
375776,24.94797313815105
375777,24.680078644409594
375778,24.39677660505553
375779,24.240031376617285
375780,23.98130731181796
375781,23.965893347065332
375782,23.73577316613721
375783,23.104117424089736
375784,22.79380079276737
375785,22.646772856692827
375786,22.807617227408816
375787,22.477532316867126
375788,22.01669718575477
375789,22.40987213405146
375790,21.726955724159154
375791,21.016041214930272
375792,20.770739556889918
375793,20.58995302891151
375794,19.879091216178985
375795,29.09557923018145
375796,29.03646079315641
375797,28.919459267126637
375798,29.09471806390401
375799,29.34603158159785
375800,29.274748309218616
375801,28.823568336991226
375802,28.343967577049657
375803,27.945953069534156
375804,28.09635067032688
375805,28.29434658544104
375806,28.54834162205673
375807,28.843246770565052
375808,28.66343023286614
375809,28.176131572006728
375810,27.91476166558103
375811,27.45907530555008
375812,27.31065333489794
375813,26.8202275257042
375814,26.547916356662213
375815,26.63153249508683
375816,26.97865321468181
375817,26.753212354319317
375818,26.494781603632198
375819,25.83295078448048
375820,25.56139585442996
375821,25.223234495716365
375822,25.264874983675966
375823,25.187948938779215
375824,25.017341051214565
375825,24.919564123369753
375826,25.13653455103813
375827,25.14239288682652
375828,25.136166830175554
375829,25.27654794681276
375830,25.2083388386422
375831,25.05418872530473
375832,24.85602907272932
375833,24.907224675957135
375834,25.01608393896961
375835,25.130719364603536
375836,25.08794165098378
375837,25.096756085957104
375838,24.839241092914286
375839,24.5349552795415
375840,24.339151205736545
375841,24.134823292249628
375842,24.006401018893072
375843,23.673273690339418
375844,23.436529641485926
375845,23.24567864375892
375846,23.040151727843288
375847,23.040551403144136
375848,22.825616063944555
375849,22.606899696300058
375850,22.53934020041345
375851,21.92328932600556
375852,21.275395816846714
375853,21.28799483964579
375854,21.357425419134685
375855,20.421183639872517
375856,28.94839760813973
375857,28.86559505196251
375858,28.787993747635692
375859,28.887982645340674
375860,29.064050228259184
375861,29.113984123174216
375862,28.801341494458523
375863,28.230587342528526
375864,27.97679921846706
375865,28.1649359061116
375866,28.46911487965951
375867,28.56538373110543
375868,28.36323522650473
375869,28.15124857169126
375870,27.695040256429486
375871,27.484420678771325
375872,27.289891407214036
375873,27.188355877318028
375874,26.65255021159137
375875,26.407236253584873
375876,26.782238433707562
375877,26.696883967523128
375878,26.457169099192306
375879,26.32146780113066
375880,25.638544934501404
375881,25.505509645294875
375882,25.367740970760423
375883,25.055532379312567
375884,25.261478784245412
375885,25.10590112306936
375886,25.276671519974094
375887,25.35524504239202
375888,25.32699345846484
375889,25.597229784242884
375890,25.700326643915716
375891,25.66550461109167
375892,25.21444016542248
375893,24.89970657787117
375894,25.092303136725736
375895,25.21300011068481
375896,25.253663870605333
375897,25.15336991305611
375898,25.0603877239539
375899,24.810301701381412
375900,24.519797993286993
375901,24.376544533984188
375902,24.296257265203515
375903,24.312986142654797
375904,24.031674877190266
375905,23.402973700768307
375906,23.185321133677945
375907,23.08974257082781
375908,22.69987444787287
375909,22.395738274822286
375910,22.109669517708582
375911,21.90081581078593
375912,21.441318454109652
375913,20.892589213872203
375914,20.662939923063007
375915,20.276647416197992
375916,19.418857310689802
375917,28.76415424200996
375918,28.736448323116395
375919,28.646924270671683
375920,28.842898044074197
375921,29.050502308119
375922,28.91806014917663
375923,28.438091352097803
375924,27.818121624874998
375925,27.486711218090974
375926,27.756800506398587
375927,27.861457077588785
375928,28.118848237666583
375929,28.006902530953752
375930,27.90926128690142
375931,27.54363638459862
375932,27.300017412173435
375933,26.756166335052967
375934,26.64616842656588
375935,26.131372813337457
375936,25.93495831242315
375937,25.957692698778487
375938,26.242215058129066
375939,25.924463694540595
375940,25.736180281338978
375941,25.183768282221543
375942,24.801527526160093
375943,24.61620533582603
375944,24.237595708505033
375945,24.523378432473848
375946,24.382200636874224
375947,24.456899314546938
375948,24.61532021209928
375949,24.475637439642142
375950,24.705002869809697
375951,24.90427152805939
375952,24.84533036691134
375953,24.809517235067382
375954,24.52279689277573
375955,24.63493240256639
375956,24.849162684083396
375957,24.89122937248341
375958,24.711834318243078
375959,24.615877389896333
375960,24.513561132735312
375961,24.21395437204228
375962,24.085718176138773
375963,23.937092942906794
375964,23.754907064673958
375965,23.54589837946041
375966,22.988384587426523
375967,22.87016128213797
375968,22.6061448034121
375969,22.306330692394965
375970,22.133080764811673
375971,21.820804174499006
375972,21.657192064087596
375973,21.151472953525012
375974,20.560148183409645
375975,20.453739668268092
375976,20.098611525129634
375977,19.142903176286215
375978,28.59701503943483
375979,28.60222832567079
375980,28.52252811475691
375981,28.699024248016073
375982,28.82881454516828
375983,28.534493036337725
375984,28.11262065364816
375985,27.518969073153222
375986,27.34954550873264
375987,27.45956811490678
375988,27.366060704352527
375989,27.73241941583423
375990,27.881157113681773
375991,27.659038542280094
375992,27.253087138416245
375993,27.026999706372173
375994,26.366844237507888
375995,26.123754055217944
375996,25.682441751034922
375997,25.355643006070927
375998,25.604999013970094
375999,25.936289701720348
376000,25.930438616610207
376001,25.863513877295077
376002,25.35846760421044
376003,24.80134775762808
376004,24.390911229857593
376005,24.542333526753097
376006,24.52844896253245
376007,24.25594780138511
376008,24.39157648488004
376009,24.41817434375219
376010,24.382952108959667
376011,24.602914147042213
376012,24.748878819495733
376013,24.645574638396525
376014,24.603804280515742
376015,24.401447147922145
376016,24.513995604472242
376017,24.714648423562625
376018,24.740585889132106
376019,24.424830277202958
376020,24.36655629030124
376021,24.119625986814533
376022,23.786150616579153
376023,23.6252708645873
376024,23.374409834958193
376025,23.125447486220676
376026,22.90399232500784
376027,22.65778024774473
376028,22.386650387549178
376029,22.307082043219403
376030,22.503603040001487
376031,22.308532692737707
376032,21.98293969282508
376033,21.87749267469438
376034,21.283073265466548
376035,20.83711765287412
376036,20.62883592351541
376037,20.446490415902367
376038,20.14234889349983
376039,29.055927187402602
